店舗名,予算テキスト,予算
博多餃子舎 603 札幌駅前店,3200円,3200.0
串鳥 札幌駅前店,2500円,2500.0
たま 札幌駅西口店,2300円/宴会3500円,2300.0
牛禅 札幌駅前通り店,4500円,4500.0
ミア ボッカ 札幌駅北口店,2300円,2300.0
カラオケ歌屋 札幌駅西口店,昼（500~1000円）／夜（1500~3000円）,
YEBISU BAR ヱビスバー 札幌アピア店,"通常平均2,500円/宴会平均4,000円/ランチ平均1,000円",2500.0
スープカレー hirihiri 2号,1400,1400.0
鶏よ魚よ 札幌駅北口店,2300円/宴会3500円,2300.0
札幌駅北口店,"アラカルト3,000円～／宴会コース3,970円～",3000.0
温野菜 札幌駅前店,3500円,3500.0
インゾーネテーブル inZONE TABLE,"ランチ：1,800円　ディナー：3,000円",1800.0
Stampede's Cafe&Dining Bar スタンピーズ カフェ&ダイニングバー,【ランチ】700円～980円／【ダイニングバー】3000円～3500円,
串鳥番外地 駅前通店,2500円,2500.0
あいよ 札幌駅 北3条店,3500円,3500.0
札幌かに本家 札幌駅前本店,5500円,5500.0
炙屋 札幌駅南口店 炭焼 寿し処,7000円～,7000.0
しゃぶしゃぶれたす 札幌駅前店,ランチ：1000円　ディナー：3200円,1000.0
山の猿 札幌駅北口店,ランチ700円/ディナー2500円/宴会3500円,
カプリチョーザ 札幌北一条店,3300円,3300.0
ジンギスカン ホルモン酒場 風土. 札幌駅前店,5000円,5000.0
